시도,시군구,사고건수[건],사망자수[명],부상자수[명],중상자[명],경상자[명],연도,일,월,화,수,목,금,토,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시,Class
서울,도봉구,852,4,1163,286,742,2019,107,131,117,114,122,145,116,43,24,22,37,76,67,96,100,108,121,91,67,False
광주,광산구,2088,15,3444,361,2896,2020,197,342,317,322,315,324,271,90,37,44,125,176,155,190,223,322,330,236,160,False
서울,용산구,1014,5,1369,257,1071,2021,106,146,163,141,136,167,155,33,17,17,36,93,98,97,118,128,165,101,111,False
경북,안동시,727,26,1086,291,738,2022,72,97,111,114,109,118,106,9,6,16,36,83,78,99,106,105,90,66,33,True
경기,의왕시,488,10,780,165,546,2019,57,69,70,69,92,75,56,19,9,19,32,59,48,64,50,65,61,37,25,False
서울,용산구,890,12,1178,246,900,2020,83,124,114,144,141,153,131,52,28,23,40,67,85,93,102,104,135,93,68,False
경기,안양시,1134,15,1616,328,1210,2022,135,142,163,166,169,195,164,62,24,27,62,125,94,101,108,149,167,127,88,False
대구,서구,1250,17,1773,379,1233,2018,129,200,181,178,188,201,173,59,40,42,70,114,125,116,136,149,198,119,82,False
경기,안성시,1072,24,1717,295,1284,2021,120,169,145,166,160,165,147,28,9,19,60,114,112,125,121,158,163,99,64,False
전남,해남군,285,14,424,118,302,2021,22,47,49,46,39,46,36,6,2,3,12,44,37,38,39,36,38,17,13,True
경기,고양시,3916,39,5794,1096,4126,2019,442,548,608,551,580,604,583,172,107,89,207,436,358,391,416,495,570,355,320,False
대구,달서구,2558,15,3535,619,2775,2022,254,394,379,392,394,405,340,98,37,39,132,273,244,266,269,345,398,275,182,False
경북,울릉군,13,1,18,7,11,2020,2,1,3,1,1,2,3,0,0,0,1,4,1,3,2,2,0,0,0,True
세종,세종시,795,20,1142,288,824,2018,76,122,130,108,112,128,119,34,16,18,58,93,64,71,81,102,112,87,59,True
부산,북구,694,11,922,209,642,2020,83,97,103,95,100,104,112,22,16,17,40,45,53,79,89,84,121,85,43,False
충남,천안시,3137,42,4653,793,3640,2019,345,449,482,428,440,528,465,144,91,84,189,298,276,337,333,352,474,304,255,False
충북,제천시,701,16,1158,226,874,2022,87,91,113,107,97,121,85,15,8,12,35,69,62,99,91,115,97,66,32,False
부산,동래구,1103,6,1482,337,1011,2019,126,151,161,197,135,164,169,48,31,31,60,111,100,123,117,143,141,112,86,False
강원,철원군,145,5,240,97,141,2018,13,19,23,13,17,35,25,3,1,3,9,11,21,16,22,16,19,15,9,True
서울,강서구,1502,11,2208,489,1546,2018,174,204,198,223,240,225,238,95,67,82,96,145,119,130,132,176,165,171,124,False
서울,광진구,708,9,966,192,739,2022,91,102,104,107,93,102,109,41,26,22,24,69,55,64,78,82,100,84,63,False
경기,성남시,3801,39,5745,1194,3955,2019,415,577,553,578,581,584,513,186,106,123,204,379,386,384,416,428,503,381,305,False
전남,고흥군,317,17,484,141,323,2020,51,59,43,45,39,43,37,3,5,10,20,44,42,36,49,56,29,15,8,True
인천,남동구,1563,15,2231,316,1812,2022,173,196,248,238,214,261,233,68,41,63,87,173,143,133,175,197,206,171,106,False
전남,신안군,97,8,171,46,122,2022,8,14,18,13,15,9,20,3,1,4,2,17,16,13,12,14,10,2,3,True
제주,제주시,3003,42,4531,889,3138,2018,358,455,453,403,466,451,417,141,81,54,162,287,260,337,369,431,412,278,191,False
충북,단양군,135,8,223,68,149,2018,20,24,19,14,13,24,21,1,1,1,3,9,24,22,25,19,16,6,8,True
서울,영등포구,1998,20,2707,424,2068,2022,212,261,311,262,304,323,325,81,53,48,113,197,188,225,226,231,253,194,189,False
인천,강화군,198,10,273,68,199,2022,35,30,20,25,28,28,32,5,0,4,13,14,28,31,39,22,24,11,7,True
경북,울릉군,11,2,10,6,4,2021,1,0,4,1,1,3,1,0,0,0,0,2,2,0,4,1,1,1,0,True
충북,영동군,133,8,187,88,94,2022,15,18,19,24,21,18,18,3,0,1,10,18,16,20,15,18,21,5,6,True
충남,당진시,783,33,1207,375,806,2019,100,110,111,116,109,132,105,18,9,20,43,73,75,93,91,104,127,79,51,True
경북,군위군,119,6,188,59,124,2021,18,13,11,18,16,22,21,1,2,4,4,16,20,11,25,16,12,3,5,True
서울,동작구,1307,10,1819,304,1313,2020,157,204,184,190,174,220,178,68,30,46,73,115,121,138,136,158,176,134,112,False
경남,사천시,668,11,1041,311,634,2019,69,99,96,82,106,127,89,21,15,19,53,59,79,80,79,91,76,56,40,True
경남,창원시(통합),2649,61,3510,828,2499,2022,286,394,345,394,443,424,363,85,44,60,152,260,261,273,305,366,393,260,190,False
대구,수성구,2016,20,3064,659,2182,2018,194,298,328,306,293,282,315,101,75,70,80,168,164,180,221,266,298,218,175,False
대구,동구,1656,14,2435,441,1806,2021,187,274,225,240,200,270,260,45,35,27,54,144,174,195,227,234,282,135,104,False
전북,김제시,481,23,874,183,678,2019,50,82,70,72,68,75,64,11,3,13,29,46,58,60,71,74,57,39,20,False
제주,서귀포시,1273,26,2052,519,1305,2019,158,165,184,197,188,185,196,42,19,28,69,137,146,157,171,190,165,89,60,True
인천,동구,154,3,215,44,165,2019,18,14,23,24,31,31,13,6,3,4,8,20,19,15,13,21,18,18,9,False
서울,서초구,2478,18,3640,693,2625,2018,231,368,334,341,405,426,373,131,98,106,142,240,262,251,226,279,289,216,238,False
강원,동해시,362,2,579,111,464,2021,41,56,56,57,43,59,50,7,2,2,16,39,40,49,62,54,49,22,20,False
충북,충주시,1349,27,2229,535,1553,2018,164,204,179,216,187,208,191,41,36,25,68,133,116,144,182,173,203,140,88,False
경북,김천시,615,19,830,240,573,2018,72,97,85,93,99,87,82,14,6,15,41,61,60,67,72,94,89,64,32,True
전남,보성군,276,15,440,127,285,2019,16,48,41,41,41,51,38,3,3,5,14,45,39,40,40,36,31,15,5,True
부산,영도구,332,5,423,135,267,2018,29,57,49,33,54,65,45,8,8,9,17,35,35,34,41,55,42,36,12,True
제주,서귀포시,1311,18,2100,469,1422,2021,185,181,179,205,189,196,176,33,10,15,56,130,167,187,177,203,176,97,60,False
경남,하동군,143,11,205,91,99,2019,17,19,25,21,22,17,22,2,1,2,4,25,20,14,22,24,17,9,3,True
전북,완주군,278,17,422,119,296,2019,29,43,45,35,45,47,34,5,4,7,24,34,31,25,34,31,43,27,13,True
전남,담양군,292,4,488,89,385,2021,41,28,47,50,42,39,45,4,0,2,25,35,39,37,41,55,33,11,10,False
전남,고흥군,275,15,430,132,280,2021,44,45,33,39,37,50,27,4,4,3,12,43,40,50,42,35,21,13,8,True
대구,중구,720,3,1025,180,676,2022,80,88,100,104,86,120,142,48,28,26,23,50,62,69,104,87,87,79,57,False
전북,부안군,200,11,304,75,228,2021,23,25,31,37,24,30,30,3,0,6,6,30,27,26,22,30,26,18,6,False
경기,의왕시,300,10,471,79,371,2022,22,38,54,46,52,60,28,16,4,8,21,32,31,23,37,33,47,28,20,False
충남,태안군,322,14,502,194,267,2018,47,56,45,38,46,39,51,15,9,5,17,30,51,37,39,42,45,20,12,True
